"","score","text"
"213",0,"RT @BesottedGeekPod: On #podcast 101's Getting to Know You, Stork puts a nation's mind to ease over the leaking water pipe, and Peacock cal"
"214",0,"#RoyalWedding wait... https://t.co/RZtnb6aZq1"
"215",2,"RT @accessonline: From Pretty Little Liar to Pretty Little Royal! Troian Bellisario &amp; #Suits star Patrick J. Adams look beautiful together"
"216",0,"No one can stop talking about Meghan's messy yet chic hairdo at the royal wedding. https://t.co/GWiaWL3kPJ https://t.co/tAyJk8WAdM"
"217",0,"RT @BesottedGeekPod: On #podcast 101's Getting to Know You, Stork puts a nation's mind to ease over the leaking water pipe, and Peacock cal"
"218",0,"#MeghanMarkle Says Her #Father Will Not Attend the #RoyalWedding - #PrescientInfo https://t.co/EfqXaHsbIt"
"219",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"220",0,"RT @itsKARY_: See, when you do royalty...the royal comes back to bite. 

#RoyalWedding https://t.co/vsusdzEACz"
"221",0,"#MeghanMarkle got her own #Royal Coat of Arms - can you spot the #California references? See what it all means! https://t.co/wWytgs4kS9"
"222",2,"RT @Vicki_Trigger: 16 PAX at Sunrise Scramblers for 3-4 miles through Carriage Hills + Mt. Regal. God's redemptive love has power! #royalwe"
"223",1,"RT @badestoutfit: Priyanka Chopra getting ready in Vivienne Westwood for the #RoyalWedding  https://t.co/q1M5qcoYpx"
"224",0,"Prince Felipe of Spain and his fianc Leticia Ortiz at the wedding of Prince Frederick of Denmark and Mary Donaldso https://t.co/AVuBRiMQLE"
"225",0,"RT @badestoutfit: The Clooneys &amp; The Beckhams #RoyalWedding  https://t.co/Ln7XBIqoJB"
"226",2,"RT @worldtristore: In celebration of the #RoyalWedding, our ITU Great Britain #WorldInspired cycling jerseys are on sale throughout the wee"
"227",1,"RT @themayhew: Remember our royal kittens? These little babies are now ready to find homes fit for a king or queen. 
Get to know Kate, M"
"228",3,"Whats happening?Check out the lovely Peyton right now on nostalgia zone her voice is really sweet honey #black https://t.co/xCFrBTyA7o"
"229",1,"I voted for #TeamMeghan on @TheTyltMeghan Markles was stunning in her #royalwedding dress https://t.co/pa16Ye2J5w https://t.co/i8J7VYaO9m"
"230",1,"@RoyallyPetite terrific px. had not seen this one before. thanx for posting #HarryandMeghan #dukeandduchessofsussex https://t.co/FI0WfsTpGL"
"231",1,"RT @julizadelmar_: Favorite moment from the #RoyalWedding https://t.co/rkiuhwMnvc"
"232",0,"RT @SairaAli_: Find someone who looks at you the way Harry is looking at Meghan
#RoyalWedding 
#HarryandMeghan https://t.co/oalFYX5cqx"
"233",0,"RT @anombi: Am a jobless electrician. Kindly RETWEET my new employer might be on your timeline
#KOT5Aside
#RoyalWedding https://t.co/v6Z5MN"
"234",-1,"RT @smFISHMAN: Rumor has it Elias was asked to perform at the #RoyalWedding. But he was like...nah Im booked. #WWE #Raw"
"235",0,"Becca's dress is giving me #MeghanMarkle #RoyalWedding #partydress vibes. #TheBachelorette https://t.co/E9uQUOoZbk"
"236",2,"1/ While the beautiful #royalwedding gave many Brits something hopeful to watch, the truth is the #UK is no longer https://t.co/J9tu2ZUtmT"
"237",2,"Rewatching clips of the #RoyalWedding and can we just discuss how spry Her Majesty still looks? Like she still has https://t.co/IcQE4vqIkW"
"238",1,"RT @Masweets_Itu: Hi everyone 

Please let's all be part of helping our Mother,  she needs help honestly...  Information is on those pictur"
"239",0,"RT @mercatornet: ""The #witnesses ... are standing witness to an #institution that merits #public recognition because of the essential role"
"240",2,"RT @Sentebale: Congratulations to the new Duke and Duchess of Sussex, from everyone at @Sentebale  We were delighted that some of our Leso"
"241",0,"More reasons to obsess over the #RoyalWedding! We love the eco-friendly touches! What about you?! https://t.co/Rf2HxaVZ5b"
"242",1,"Here's how the #RoyalWedding dress came together, from #MeghanMarkle's 8 fittings to design inspiration and more https://t.co/Llk8unY1PK"
"243",0,"RT @enews: Men, take note. #RoyalWedding https://t.co/0V90sEZ239"
"244",0,"@royalmusing with this cover of @vogueaustralia first time i've seen the detailed embroidery on #PrinceHarry coat. https://t.co/zQJXohTVOX"
"245",0,"""The #witnesses ... are standing witness to an #institution that merits #public recognition because of the essentia https://t.co/4pmQkoNyzo"
"246",1,"RT @summayasaleem: I so love Pakistani Twitter 

#RoyalWedding https://t.co/Fn1o9VGtRj"
"247",0,"RT @BesottedGeekPod: On #podcast 101's Getting to Know You, Stork puts a nation's mind to ease over the leaking water pipe, and Peacock cal"
"248",0,"RT @JoyCookPR: The #royalwedding made history!!!Tune in today to #AboveTheNoise as I talk about the #royalwedding2018 from a PR perspective"
"249",0,"Meghan and #PrinceHarry Did Something #Special With All Those #RoyalWedding Flowers - #PrescientInfo https://t.co/enDLMVgJIi"
"250",1,"RT @RCT: This painting marks #QueenVictorias Golden Jubilee. She is in the Green Drawing Room at #WindsorCastle (the location of the Duke"
"251",0,"RT @HRHCatherine: Victoria Beckham
David Beckham
George Clooney
Amal Clooney
Idris Elba
Serena Williams
Oprah Winfrey
Elton John

..... and"
"252",0,"RT @Essence: Prince Charles is the real MVP. He actually came up with the idea of having gospel music at the #RoyalWedding. https://t.co/WO"
"253",0,"RT @SixersBBL:  &gt; Last week there was the #RoyalWedding . Today we're making a Royal announcement of our very own! 

Full details &gt; https"
"254",0,"RT @KensingtonRoyal: The Duke and Duchess of Sussex with the Bridesmaids and Page Boys, taken by photographer Alexi Lubomirski in the Green"
"255",0,"RT @badestoutfit: The Clooneys &amp; The Beckhams #RoyalWedding  https://t.co/Ln7XBIqoJB"
"256",0,"RT @Real_IkennaObi: Losers Stop When They Failed. #Winners Fail Till They #SUCCEED. An interesting scene from the true story about #Princeh"
"257",0,"RT @Belle4DJT: How well do you know the Royals?...Queen Elizabeth Found Guilty in Missing Children Case? Whistle Blowers Incarcerated, Whil"
"258",0,"RT @SairaAli_: Find someone who looks at you the way Harry is looking at Meghan
#RoyalWedding 
#HarryandMeghan https://t.co/oalFYX5cqx"
"259",1,"RT @TheAcademy: Today, we celebrate one more American actress who married into a royal family. #RoyalWedding https://t.co/VnYiDZnuU9"
"260",1,"RT @RCT: This painting marks #QueenVictorias Golden Jubilee. She is in the Green Drawing Room at #WindsorCastle (the location of the Duke"
"261",1,"RT @RainVENNT: Doria Ragland #MeghanMarkle Mother w/ Prince Charles and Camila Parker Bowles was a powerful symbolic cultural moment that a"
"262",-2,"RT @itvnews: Amelia Thompson, 12, who received a #RoyalWedding invite after being caught up in the Manchester Arena terror attack says the"
"263",1,"RT @FiftyShades: The Greys want to Congratulate Prince Harry and Meghan Markle on their nuptials! #RoyalWedding https://t.co/sfsec2ScvN"
"264",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"265",1,"RT @peterhartlaub: Hey West Coast Twitter! Im waking up in 3 1/2 hours to watch #RoyalWedding TV coverage for work. 
Whos with me! https:"
"266",1,"Bishop Michael Curry #RoyalWedding sermon #love creds: BBC https://t.co/LUMZZWoEFx"
"267",0,"RT @TheBiggerReason: Did Princess Diana say too much in this interview? 
#PrincessDiana #RoyalWedding2018 #Memes #meghanmarkle #PrinceHarry"
"268",1,"RT @WesleyBarrell: With four days to go don't miss out on your chance to win a 500 Wesley Barrell gift voucher. Follow us, like, share or"
"269",1,"RT @gifto_io: #GTO $GTO What color will the Queen wear to the #royalwedding? Retweet the right color and tag #WeddingGIFTO for a chance to"
"270",0,"RT @tina_baines: Royal Wedding and Real life fairy tale. 

Prince Harry hand picked flowers from his and Meghans garden for her bridal bou"
"271",0,"Yesterday, I started to watch #TheCrown, now Im at #Episode 5. 
Thanks to @netflix @TheCrownNetflix #Netflix https://t.co/SOehGaIV4z"
"272",0,"RT @svidh_ya: Something  Never Change 
#RoyalWedding https://t.co/9eci8PcWKu"
"273",-1,"RT @potts_ad: As cynical as I am anything that has a gospel choir singing stand by me gets a 10/10 from me #RoyalWedding #HarryandMeghan"
"274",-2,"RT @potts_ad: I'm still adamant that the Queen makes Prince Phillip sing god save the Queen. 'You will bloody sing it Phillip' #RoyalWedding"
"275",0,"RT @Melietcetera: Another #RoyalWedding of sorts ;)

#HarryPotter
@jk_rowling https://t.co/esKxwj89iR"
"276",0,"RT @LondonaLozzy: Diana, your son got married today. The flowers in Meghan's bouquet were hand picked by him from your garden. The hymn the"
"277",1,"RT @PHarry_Meghan: If you find someone you love in your life, then hang on to that love - Princess Diana #RoyalWedding https://t.co/TMmmD"
"278",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"279",0,"RT @KensingtonRoyal: During the Signing of the Register @ShekuKM and the Orchestra perform #RoyalWedding https://t.co/AVpGngrfBv"
"280",0,"How can the Royals have a honeymoon in canada if canada doesn't exist #RoyalWedding"
"281",1,"RT @jamieblynn: Nothing but respect for the OG British royal who married an American star #royalwedding https://t.co/ID3FnDliYE"
"282",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"283",0,"RT @WorldCityPhotog: Union Jacks line The Mall on the approach to Buckingham Palace #London. #RoyalWedding #photography https://t.co/IU3QZk"
"284",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"285",0,"RT @RoyalFamily: The Duke and Duchess of Sussex were also photographed on the East Terrace, Windsor Castle. Their Royal Highnesses would li"
"286",0,"RT @KensingtonRoyal: The Duke and Duchess of Sussex with the Bridesmaids and Page Boys, taken by photographer Alexi Lubomirski in the Green"
"287",1,"RT @LakelandCollege: When newly wed royals are choosing our back yard for their honeymoon destination... you know we are in an awesome part"
"288",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"289",2,"RT @RobertDyas: We'd like to cordially invite you to take part in our royal wedding competition. RSVP by sharing this post! Winners announc"
"290",0,"RT @KraksTV: Some footage from the #RoyalWedding y'all didn't get to see 

Via @iamDULO https://t.co/TFYqz171YW"
"291",0,"Another #RoyalWedding of sorts ;)

#HarryPotter
@jk_rowling https://t.co/esKxwj89iR"
"292",1,"RT @RCT: This painting marks #QueenVictorias Golden Jubilee. She is in the Green Drawing Room at #WindsorCastle (the location of the Duke"
"293",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"294",2,"RT @california: Congratulations to #PrinceHarry &amp; #MeghanMarkle - the wedding was gorgeous! #RoyalWedding #RoyalWedding2018 #SaturdayMornin"
"295",1,"RT @RCT: This painting marks #QueenVictorias Golden Jubilee. She is in the Green Drawing Room at #WindsorCastle (the location of the Duke"
"296",0,"RT @fashionistapc: Mindy Kaling talks about @priyankachopra at the #RoyalWedding  https://t.co/QGua1pa0zY"
"297",0,"RT @hyzaidi: This had me laughing my head off. #RoyalWedding https://t.co/a2ZDa9WOaU"
"298",0,"RT @officialcharts: Following his performance at the #RoyalWedding, @ShekuKM is now the highest-charting cellist in Official Chart history"
"299",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
"300",0,"RT @caedeminthecity: Yiii Kinilig si @delavinkisses watching the #RoyalWedding but yeah... her own's gonna be in the ""distant future"" pa. "
